#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
17,G-F,Vince Carter,Sacramento Kings,47,7.4%,0.4,0.5,1.1,0.2,0.2,0.4,55.6%,61.1%,5%,5%,5%,50%
18,G,Devin Harris,Denver Nuggets,14,21.6%,1.5,1.6,1.095,0.7,0.6,1.4,47.4%,55.3%,4.8%,14.3%,14.3%,47.6%
19,G,Bobby Brown,Houston Rockets,20,47.8%,1.7,1.8,1.091,0.6,0.7,1.3,53.8%,67.3%,18.2%,3%,3%,45.5%
20,F,Kevin Durant,Golden State Warriors,60,17.3%,4.1,4.4,1.086,1.5,1.6,3.1,51.6%,56.6%,13.5%,13.9%,12.3%,49.2%
21,G,Joe Young,Indiana Pacers,49,24.9%,1,1.1,1.08,0.4,0.5,0.9,54.8%,58.3%,12%,6%,4%,50%
22,G,Damian Lillard,Portland Trail Blazers,61,47.7%,11.9,12.7,1.065,5,4.2,9.2,45.6%,54.7%,12.4%,12.6%,10.2%,45.2%
23,F,Jayson Tatum,Boston Celtics,67,10.7%,1.4,1.4,1.044,0.5,0.5,1.1,50%,53.5%,9.9%,12.1%,11%,50.5%
24,G,Trey Burke,New York Knicks,23,50.9%,5.1,5.3,1.043,2,2.3,4.3,53.1%,56.6%,11.1%,7.7%,7.7%,49.6%
25,F,Tobias Harris,Detroit Pistons,48,12.3%,2.1,2.2,1.04,1,0.8,1.8,46%,51.7%,5%,10%,9%,47%
26,F,Khris Middleton,Milwaukee Bucks,68,19.5%,3.8,3.9,1.039,1.4,1.5,2.9,51.5%,54.3%,12.8%,11.2%,10.1%,49.2%
27,F,Otto Porter Jr.,Washington Wizards,65,12%,1.6,1.7,1.038,0.7,0.7,1.4,51.1%,54.3%,8.6%,4.8%,3.8%,48.6%
28,,Tobias Harris,Los Angeles Clippers,17,16%,3.1,3.2,1.038,1.1,1.2,2.4,52.5%,53.8%,13.5%,13.5%,13.5%,50%
