#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
194,F,Taurean Prince,Atlanta Hawks,69,4.2%,0.6,0.4,0.707,0.3,0.2,0.5,35.3%,35.3%,12.2%,12.2%,12.2%,34.1%
195,G,Tyler Ennis,Los Angeles Lakers,41,10.3%,0.4,0.3,0.706,0.2,0.1,0.3,42.9%,42.9%,17.6%,0%,0%,35.3%
196,G,Kemba Walker,Charlotte Hornets,67,6.2%,1.4,1,0.703,0.9,0.4,1.3,32.6%,34.3%,2.2%,4.4%,3.3%,34.1%
197,F,Kristaps Porzingis,New York Knicks,49,8.3%,1.9,1.3,0.703,1,0.6,1.5,36%,38%,12.1%,6.6%,6.6%,34.1%
198,G,Denzel Valentine,Chicago Bulls,68,2.8%,0.3,0.2,0.7,0.1,0.1,0.2,37.5%,43.8%,20%,0%,0%,30%
199,C,Frank Kaminsky,Charlotte Hornets,66,6.8%,0.8,0.5,0.7,0.5,0.2,0.7,29.5%,29.5%,6%,12%,12%,32%
200,F,Ryan Anderson,Houston Rockets,57,1.9%,0.2,0.1,0.7,0.1,<0.1,0.1,20%,20%,20%,30%,30%,40%
201,C,Willie Cauley-Stein,Sacramento Kings,60,8.7%,1.2,0.8,0.7,0.6,0.3,0.9,31.5%,31.5%,8.6%,17.1%,17.1%,37.1%
202,C,Hassan Whiteside,Miami Heat,47,3.5%,0.5,0.3,0.696,0.3,0.1,0.4,33.3%,33.3%,4.3%,4.3%,4.3%,34.8%
203,G,Dwyane Wade,Miami Heat,12,6.8%,1.1,0.8,0.692,0.6,0.2,0.8,22.2%,33.3%,15.4%,15.4%,15.4%,30.8%
204,C,Andre Drummond,Detroit Pistons,66,8.8%,1.4,1,0.691,0.6,0.3,1,34.9%,34.9%,12.8%,21.3%,20.2%,39.4%
205,F,Andrew  Wiggins,Minnesota Timberwolves,69,8.9%,1.7,1.2,0.689,1,0.4,1.4,31.3%,33.8%,6.7%,10.1%,8.4%,34.5%
206,G,Kent  Bazemore,Atlanta Hawks,65,5.3%,0.7,0.5,0.688,0.4,0.1,0.5,21.9%,23.4%,12.5%,20.8%,18.8%,35.4%
207,G,Tony Parker,San Antonio Spurs,42,6%,0.6,0.4,0.68,0.3,0.2,0.4,38.9%,38.9%,20%,8%,8%,36%
208,,Joe Johnson,Houston Rockets,10,18.5%,1.2,0.8,0.667,0.5,0.4,0.9,44.4%,44.4%,25%,0%,0%,33.3%
209,G,Jordan Clarkson,Cleveland Cavaliers,14,8.5%,1.1,0.7,0.667,0.6,0.4,1,35.7%,35.7%,6.7%,0%,0%,33.3%
210,G-F,Justise Winslow,Miami Heat,55,3.9%,0.3,0.2,0.667,0.2,0.1,0.3,37.5%,37.5%,11.1%,0%,0%,33.3%
211,G,Wayne Selden,Memphis Grizzlies,26,6.5%,0.6,0.4,0.667,0.3,0.2,0.5,30.8%,38.5%,13.3%,0%,0%,26.7%
212,G,Jerian Grant,Chicago Bulls,60,10.1%,0.9,0.6,0.66,0.5,0.3,0.8,34%,35.1%,9.4%,5.7%,5.7%,30.2%
213,C-F,LaMarcus Aldridge,San Antonio Spurs,62,3.3%,0.7,0.5,0.659,0.4,0.2,0.5,30.3%,30.3%,11.4%,13.6%,13.6%,36.4%
214,F,Josh Jackson,Phoenix Suns,67,5.9%,0.8,0.5,0.655,0.5,0.2,0.7,31.1%,32.2%,9.1%,12.7%,12.7%,34.5%
215,G,J.J. Barea,Dallas Mavericks,63,7.9%,1,0.7,0.651,0.6,0.3,0.9,29.6%,33.3%,7.9%,7.9%,6.3%,30.2%
216,G,Avery Bradley,Detroit Pistons,40,2.9%,0.5,0.3,0.65,0.3,0.1,0.5,27.8%,27.8%,5%,10%,5%,30%
217,G,Isaiah Thomas,Cleveland Cavaliers,15,6.5%,1.1,0.7,0.647,0.4,0.2,0.6,33.3%,33.3%,35.3%,23.5%,23.5%,29.4%
218,F,Marquese Chriss,Phoenix Suns,62,3.3%,0.3,0.2,0.647,0.1,0.1,0.2,33.3%,33.3%,17.6%,11.8%,11.8%,35.3%
219,F,Otto Porter Jr.,Washington Wizards,65,3.9%,0.5,0.3,0.647,0.3,0.1,0.5,26.7%,28.3%,2.9%,11.8%,11.8%,32.4%
220,C-F,Pau Gasol,San Antonio Spurs,64,2.4%,0.3,0.2,0.647,0.1,0.1,0.2,30.8%,30.8%,11.8%,11.8%,11.8%,35.3%
221,G,Jarrett Jack,New York Knicks,57,5.6%,0.5,0.4,0.645,0.4,0.1,0.5,25.9%,29.6%,6.5%,6.5%,6.5%,29%
222,G-F,Gerald Green,Houston Rockets,28,4.6%,0.5,0.3,0.643,0.3,0.1,0.4,33.3%,37.5%,7.1%,7.1%,7.1%,28.6%
223,G,Wesley Matthews,Dallas Mavericks,63,6.8%,0.9,0.6,0.643,0.5,0.2,0.7,29.5%,34.1%,14.3%,7.1%,7.1%,30.4%
224,G-F,Andre Iguodala,Golden State Warriors,56,6.1%,0.4,0.3,0.636,0.2,0.1,0.3,26.7%,26.7%,18.2%,13.6%,9.1%,31.8%
225,G,Derrick Rose,Cleveland Cavaliers,16,6.1%,0.7,0.4,0.636,0.3,0.2,0.4,42.9%,42.9%,27.3%,9.1%,9.1%,36.4%
226,C-F,Mason Plumlee,Denver Nuggets,61,3.9%,0.3,0.2,0.632,0.1,0.1,0.2,38.5%,38.5%,15.8%,21.1%,21.1%,31.6%
227,G,Lonzo Ball,Los Angeles Lakers,46,4.2%,0.6,0.4,0.63,0.3,0.2,0.5,30.4%,37%,7.4%,7.4%,7.4%,25.9%
228,G,David Nwaba,Chicago Bulls,56,3.8%,0.3,0.2,0.625,0.1,0.1,0.2,27.3%,27.3%,12.5%,25%,25%,37.5%
229,G,Dejounte Murray,San Antonio Spurs,68,7.2%,0.7,0.4,0.617,0.3,0.2,0.5,35.3%,35.3%,19.1%,10.6%,8.5%,31.9%
230,F,JaMychal Green,Memphis Grizzlies,47,3.4%,0.4,0.2,0.611,0.3,0.1,0.4,23.5%,26.5%,0%,5.6%,5.6%,27.8%
231,G,Will Barton,Denver Nuggets,68,10.3%,1.6,1,0.607,0.9,0.3,1.2,26.2%,26.8%,12.1%,12.1%,12.1%,29.9%
232,G,Tyler Ulis,Phoenix Suns,59,8%,0.7,0.4,0.605,0.4,0.1,0.6,21.2%,22.7%,9.3%,16.3%,16.3%,30.2%
233,G,Jerryd Bayless,Philadelphia 76ers,40,4.6%,0.4,0.2,0.6,0.2,0.1,0.3,33.3%,37.5%,20%,0%,0%,26.7%
234,F,Royce ONeale,Utah Jazz,55,5%,0.3,0.2,0.6,0.1,0.1,0.2,27.3%,31.8%,20%,6.7%,6.7%,26.7%
235,F,Stanley Johnson,Detroit Pistons,55,5.8%,0.6,0.3,0.594,0.3,0.1,0.5,24%,24%,9.4%,15.6%,15.6%,31.3%
236,G,Frank Ntilikina,New York Knicks,66,5%,0.4,0.2,0.577,0.3,0.1,0.3,19%,21.4%,7.7%,11.5%,11.5%,26.9%
237,,Jusuf Nurkic,Portland Trail Blazers,65,2.5%,0.4,0.2,0.577,0.2,0.1,0.3,25%,25%,15.4%,11.5%,11.5%,26.9%
238,F,Al Farouq Aminu,Portland Trail Blazers,55,2.6%,0.3,0.1,0.571,0.1,0.1,0.2,30%,30%,21.4%,7.1%,7.1%,28.6%
239,G,Shabazz Napier,Portland Trail Blazers,61,11.4%,1.1,0.6,0.569,0.7,0.2,0.9,23.1%,26%,12.3%,7.7%,7.7%,26.2%
240,G,Cory Joseph,Indiana Pacers,68,6.2%,0.6,0.3,0.553,0.4,0.1,0.5,26.5%,26.5%,5.3%,7.9%,2.6%,28.9%
241,F-G,Kawhi Leonard,San Antonio Spurs,10,14%,2,1.1,0.55,1.4,0.5,1.9,26.3%,28.9%,5%,0%,0%,25%
242,F,Lauri Markkanen,Chicago Bulls,60,2.5%,0.4,0.2,0.545,0.2,0.1,0.3,33.3%,33.3%,18.2%,0%,0%,27.3%
